iteration,PU1F,PU2F,J280,J269,PU1,PU2,T1,V2,PU4,PU5,PU6,PU7,T2,V2F,J300,J256,J289,J415,J14,J422,PU4F,PU5F,PU6F,PU7F,T3,T4,PU8,PU10,PU11,PU8F,PU10F,PU11F,J302,J306,J307,J317,T5,T6,T7
10,96.112868,96.131724,2.975436,35.060390,1.000000,1.000000,3.031962,1.000000,1.000000,0.000000,0.000000,1.000000,0.542433,106.581019,25.421820,89.385768,25.482967,84.746268,28.515708,27.615707,33.892082,0.000000,0.000000,48.998950,3.204975,2.667021,1.000000,0.000000,0.000000,37.353569,0.000000,0.000000,27.125931,84.822055,27.125931,56.780306,1.421382,4.954400,1.572721
11,96.115206,96.134062,2.975435,35.059137,1.000000,1.000000,3.026862,1.000000,1.000000,0.000000,0.000000,1.000000,0.563389,106.453994,25.438861,89.418492,25.499958,84.766407,28.531628,27.631627,33.882586,0.000000,0.000000,48.997285,3.247715,2.688366,1.000000,0.000000,0.000000,37.336416,0.000000,0.000000,27.124872,84.852856,27.124872,56.682133,1.473384,4.922842,1.457302
12,96.555537,96.574523,2.975226,34.823009,1.000000,1.000000,3.021820,1.000000,1.000000,0.000000,0.000000,1.000000,0.584243,104.224862,25.387369,89.424500,25.448317,84.767820,28.462738,27.562737,33.847742,0.000000,0.000000,48.969208,3.290435,2.709706,1.000000,1.000000,0.000000,35.267242,30.858301,0.000000,20.909053,82.420722,20.796836,67.983966,1.525340,4.891101,1.342131
13,95.995284,96.014106,2.975492,35.123378,1.000000,1.000000,3.006767,1.000000,1.000000,0.000000,0.000000,1.000000,0.603180,105.604505,25.516617,90.296322,25.576424,86.583045,28.585480,27.685478,33.394021,0.000000,0.000000,48.062654,3.333085,2.730967,1.000000,1.000000,0.000000,35.026689,30.711927,0.000000,21.302596,83.230437,21.191362,68.865882,1.571705,4.911776,1.389577
14,96.001747,96.020570,2.975489,35.119917,1.000000,1.000000,2.995282,1.000000,1.000000,0.000000,0.000000,1.000000,0.624541,105.452069,25.533612,90.329944,25.593382,86.622903,28.601049,27.701048,33.383783,0.000000,0.000000,48.050164,3.377822,2.780732,1.000000,1.000000,0.000000,35.007752,30.701885,0.000000,21.301689,83.262169,21.190523,68.898387,1.626053,4.936237,1.453211
15,96.008135,96.026960,2.975486,35.116495,1.000000,1.000000,2.983874,1.000000,1.000000,0.000000,0.000000,1.000000,0.645787,105.300253,25.550547,90.363529,25.610279,86.662679,28.616565,27.716564,33.373524,0.000000,0.000000,48.037677,3.422538,2.830461,1.000000,1.000000,0.000000,34.989003,30.689665,0.000000,21.301337,83.294093,21.190253,68.938667,1.680350,4.960720,1.514478
16,96.014476,96.033304,2.975483,35.113099,1.000000,1.000000,2.972542,1.000000,1.000000,0.000000,0.000000,1.000000,0.666919,105.149012,25.567412,90.397074,25.627107,86.702449,28.632017,27.732015,33.363244,0.000000,0.000000,48.025151,3.467233,2.880154,1.000000,1.000000,0.000000,34.970270,30.677496,0.000000,21.301010,83.325996,21.190008,68.978776,1.734596,4.985247,1.575594
17,96.020761,96.039590,2.975480,35.109733,1.000000,1.000000,2.961285,1.000000,1.000000,0.000000,0.000000,1.000000,0.687937,104.998363,25.584207,90.430578,25.643865,86.742153,28.647403,27.747402,33.352942,0.000000,0.000000,48.012617,3.511907,2.929813,1.000000,1.000000,0.000000,34.951554,30.665346,0.000000,21.300717,83.357882,21.189796,69.018836,1.788792,5.009818,1.636560
18,96.026999,96.045830,2.975477,35.106391,1.000000,1.000000,2.950105,1.000000,1.000000,0.000000,0.000000,1.000000,0.708842,104.848289,25.600932,90.464043,25.660553,86.781815,28.662725,27.762724,33.342618,0.000000,0.000000,48.000062,3.556561,2.979436,1.000000,1.000000,0.000000,34.932856,30.653213,0.000000,21.300456,83.389751,21.189617,69.058847,1.842937,5.034431,1.697377
19,96.033191,96.052024,2.975474,35.103075,1.000000,1.000000,2.939000,1.000000,1.000000,0.000000,0.000000,1.000000,0.729635,104.698805,25.617587,90.497466,25.677170,86.821421,28.677982,27.777981,33.332272,0.000000,0.000000,47.987495,3.601193,3.029024,1.000000,1.000000,0.000000,34.914177,30.641098,0.000000,21.300230,83.421602,21.189471,69.098809,1.897031,5.059087,1.758044
20,96.039337,96.058171,2.975471,35.099783,1.000000,1.000000,2.927970,1.000000,1.000000,0.000000,0.000000,1.000000,0.750316,104.549898,25.634173,90.530849,25.693718,86.860996,28.693174,27.793173,33.321904,0.000000,0.000000,47.974901,3.645805,3.078576,1.000000,1.000000,0.000000,34.895515,30.629001,0.000000,21.300036,83.453436,21.189358,69.138722,1.951075,5.083786,1.818563
21,96.045425,96.064262,2.975468,35.096521,1.000000,1.000000,2.917014,1.000000,1.000000,0.000000,0.000000,1.000000,0.770885,104.401584,25.650690,90.564193,25.710197,86.900520,28.708304,27.808303,33.311515,0.000000,0.000000,47.962292,3.690395,3.128093,1.000000,1.000000,0.000000,34.876871,30.616923,0.000000,21.299875,83.485253,21.189278,69.178585,2.005069,5.108526,1.878935
22,96.051473,96.070311,2.975465,35.093282,1.000000,1.000000,2.906134,1.000000,1.000000,0.000000,0.000000,1.000000,0.791344,104.253873,25.667139,90.597496,25.726608,86.940001,28.723370,27.823369,33.301105,0.000000,0.000000,47.949664,3.734965,3.177574,1.000000,1.000000,0.000000,34.858245,30.604862,0.000000,21.299747,83.517052,21.189231,69.218400,2.059012,5.133308,1.939159
23,96.057466,96.076306,2.975462,35.090071,1.000000,1.000000,2.895327,1.000000,1.000000,0.000000,0.000000,1.000000,0.811692,104.106757,25.683519,90.630760,25.742951,86.979426,28.738373,27.838372,33.290673,0.000000,0.000000,47.937024,3.779513,3.227020,1.000000,1.000000,0.000000,34.839636,30.592820,0.000000,21.299652,83.548834,21.189216,69.258165,2.112905,5.158132,1.999236
24,96.063426,96.082268,2.975460,35.086878,1.000000,1.000000,2.884595,1.000000,1.000000,0.000000,0.000000,1.000000,0.831930,103.960236,25.699830,90.663983,25.759224,87.018807,28.753313,27.853311,33.280220,0.000000,0.000000,47.924365,3.824041,3.276430,1.000000,1.000000,0.000000,34.821046,30.580795,0.000000,21.299589,83.580599,21.189234,69.297881,2.166748,5.182996,2.059168
25,95.932027,95.950830,2.975522,35.157253,1.000000,1.000000,2.873936,1.000000,1.000000,0.000000,0.000000,1.000000,0.852060,104.149887,25.752755,91.466098,25.809735,87.180527,28.799670,27.899669,32.813295,0.000000,0.000000,47.863364,3.868547,3.325804,1.000000,1.000000,0.000000,34.701088,30.552227,0.000000,21.397779,83.883865,21.287614,69.490481,2.220540,5.207902,2.118953
26,95.937108,95.955913,2.975519,35.154532,1.000000,1.000000,2.864257,1.000000,1.000000,0.000000,0.000000,1.000000,0.872824,104.005157,25.769592,91.500338,25.826532,87.221068,28.815137,27.915136,32.802359,0.000000,0.000000,47.850327,3.914925,3.376746,1.000000,1.000000,0.000000,34.681761,30.541552,0.000000,21.398286,83.917326,21.288193,69.526247,2.277126,5.233445,2.182853
27,95.942132,95.960939,2.975517,35.151842,1.000000,1.000000,2.854651,1.000000,1.000000,0.000000,0.000000,1.000000,0.893481,103.861011,25.786372,91.534543,25.843273,87.261574,28.830554,27.930553,32.791404,0.000000,0.000000,47.837270,3.961282,3.427651,1.000000,1.000000,0.000000,34.662572,30.529296,0.000000,21.399198,83.950919,21.289187,69.567609,2.333659,5.259017,2.245021
28,95.947100,95.965907,2.975515,35.149182,1.000000,1.000000,2.845116,1.000000,1.000000,0.000000,0.000000,1.000000,0.914032,103.717445,25.803086,91.568707,25.859947,87.302050,28.845909,27.945908,32.780429,0.000000,0.000000,47.824187,4.007616,3.478519,1.000000,1.000000,0.000000,34.643399,30.517077,0.000000,21.400139,83.984493,21.290209,69.608853,2.390141,5.284631,2.307039
29,95.952027,95.970836,2.975512,35.146544,1.000000,1.000000,2.835654,1.000000,1.000000,0.000000,0.000000,1.000000,0.934477,103.574447,25.819733,91.602831,25.876555,87.342459,28.861204,27.961203,32.769433,0.000000,0.000000,47.811100,4.053928,3.529350,1.000000,1.000000,0.000000,34.624244,30.504876,0.000000,21.401112,84.018048,21.291263,69.650048,2.446570,5.310287,2.368909
30,95.956910,95.975721,2.975510,35.143929,1.000000,1.000000,2.826264,1.000000,1.000000,0.000000,0.000000,1.000000,0.954818,103.432015,25.836315,91.636915,25.893098,87.382838,28.876438,27.976436,32.758417,0.000000,0.000000,47.797986,4.100217,3.580144,1.000000,1.000000,0.000000,34.605106,30.492694,0.000000,21.402117,84.051584,21.292349,69.691193,2.502948,5.335985,2.430629
31,95.961747,95.980559,2.975508,35.141339,1.000000,1.000000,2.816945,1.000000,1.000000,0.000000,0.000000,1.000000,0.975053,103.290162,25.852831,91.670959,25.909574,87.423163,28.891610,27.991609,32.747380,0.000000,0.000000,47.784860,4.146484,3.630901,1.000000,1.000000,0.000000,34.585986,30.480529,0.000000,21.403155,84.085103,21.293468,69.732287,2.559275,5.361724,2.492202
32,95.966532,95.985346,2.975505,35.138776,1.000000,1.000000,2.807697,1.000000,1.000000,0.000000,0.000000,1.000000,0.995184,103.148872,25.869283,91.704962,25.925986,87.463444,28.906723,28.006722,32.736323,0.000000,0.000000,47.771718,4.192729,3.681622,1.000000,1.000000,0.000000,34.566884,30.468383,0.000000,21.404225,84.118603,21.294620,69.773331,2.615549,5.387504,2.553628
33,95.971274,95.990089,2.975503,35.136237,1.000000,1.000000,2.798521,1.000000,1.000000,0.000000,0.000000,1.000000,1.015212,103.008160,25.885668,91.738926,25.942331,87.503665,28.921775,28.021774,32.725246,0.000000,0.000000,47.758565,4.238952,3.732305,1.000000,1.000000,0.000000,34.547800,30.456255,0.000000,21.405327,84.152085,21.295803,69.814324,2.671772,5.413326,2.614907
34,95.975973,95.994789,2.975501,35.133720,1.000000,1.000000,2.789415,1.000000,1.000000,0.000000,0.000000,1.000000,1.035137,102.868011,25.901989,91.772850,25.958612,87.543868,28.936767,28.036766,32.714149,0.000000,0.000000,47.745382,4.285152,3.782951,1.000000,1.000000,0.000000,34.528733,30.444146,0.000000,21.406462,84.185549,21.297018,69.855267,2.727944,5.439188,2.676040
35,95.980620,95.999438,2.975499,35.131231,1.000000,1.000000,2.780379,1.000000,1.000000,0.000000,0.000000,1.000000,1.054959,102.728430,25.918245,91.806734,25.974829,87.583992,28.951700,28.051699,32.703032,0.000000,0.000000,47.732201,4.331329,3.833560,1.000000,1.000000,0.000000,34.509684,30.432055,0.000000,21.407629,84.218995,21.298266,69.896159,2.784064,5.465090,2.737028
36,95.985229,96.004048,2.975497,35.128763,1.000000,1.000000,2.771414,1.000000,1.000000,0.000000,0.000000,1.000000,1.074679,102.589416,25.934437,91.840578,25.990980,87.624087,28.966573,28.066572,32.691895,0.000000,0.000000,47.718994,4.377484,3.884132,1.000000,1.000000,0.000000,34.490652,30.419982,0.000000,21.408828,84.252422,21.299545,69.937001,2.840132,5.491033,2.797870
37,95.971925,95.990740,2.975503,35.135888,1.000000,1.000000,2.768331,1.000000,1.000000,0.000000,0.000000,1.000000,1.081481,102.614816,25.942402,91.853273,25.998935,87.638689,28.974639,28.074638,32.688909,0.000000,0.000000,47.715323,4.393477,3.901650,1.000000,1.000000,0.000000,34.577151,29.245253,0.000000,21.682455,84.374846,21.580860,73.963516,2.859552,5.500000,2.818912
38,95.576363,95.595062,2.975690,35.347566,1.000000,1.000000,2.762783,1.000000,1.000000,0.000000,0.000000,1.000000,1.094317,103.463232,26.044687,92.776753,26.099533,89.076939,29.067370,28.167369,32.165848,0.000000,0.000000,46.967948,4.423613,3.934659,1.000000,1.000000,0.000000,34.213724,28.526911,0.000000,22.119749,85.423710,22.022727,76.592464,2.896302,5.500000,2.877151
39,95.577911,95.596610,2.975689,35.346738,1.000000,1.000000,2.757360,1.000000,1.000000,0.000000,0.000000,1.000000,1.115838,103.330029,26.062865,92.812305,26.117679,89.129222,29.084206,28.184205,32.154678,0.000000,0.000000,46.948633,4.471873,4.003203,1.000000,1.000000,0.000000,34.193074,28.504785,0.000000,22.126121,85.464687,22.029238,76.665187,2.962602,5.500000,2.996173
40,95.579382,95.598082,2.975688,35.345952,1.000000,1.000000,2.752006,1.000000,1.000000,0.000000,0.000000,1.000000,1.137269,103.197390,26.080993,92.847823,26.135776,89.181442,29.100999,28.200998,32.143491,0.000000,0.000000,46.929306,4.520111,4.071691,1.000000,1.000000,0.000000,34.172678,28.479451,0.000000,22.133242,85.505941,22.036518,76.748159,3.028846,5.500000,3.113713
41,95.580814,95.599514,2.975687,35.345186,1.000000,1.000000,2.746724,1.000000,1.000000,0.000000,0.000000,1.000000,1.158609,103.065284,26.099064,92.883304,26.153816,89.233592,29.117739,28.217738,32.132287,0.000000,0.000000,46.909974,4.568327,4.140126,1.000000,1.000000,0.000000,34.152297,28.454152,0.000000,22.140389,85.547172,22.043825,76.830947,3.095034,5.500000,3.231062
42,95.582197,95.600897,2.975687,35.344446,1.000000,1.000000,2.741511,1.000000,1.000000,0.000000,0.000000,1.000000,1.179860,102.933709,26.117079,92.918748,26.171800,89.285719,29.134427,28.234426,32.121066,0.000000,0.000000,46.890611,4.616519,4.208505,1.000000,1.000000,0.000000,34.131933,28.428874,0.000000,22.147568,85.588383,22.051162,76.913610,3.161168,5.500000,3.348222
43,95.583533,95.602234,2.975686,35.343732,1.000000,1.000000,2.736369,1.000000,1.000000,0.000000,0.000000,1.000000,1.201021,102.802675,26.135037,92.954155,26.189727,89.337768,29.151064,28.251063,32.109828,0.000000,0.000000,46.871247,4.664689,4.276831,1.000000,1.000000,0.000000,34.111585,28.403616,0.000000,22.154776,85.629573,22.058529,76.996148,3.227247,5.500000,3.465193
44,95.584822,95.603523,2.975686,35.343043,1.000000,1.000000,2.731297,1.000000,1.000000,0.000000,0.000000,1.000000,1.222093,102.672167,26.152940,92.989525,26.207599,89.389757,29.167649,28.267648,32.098573,0.000000,0.000000,46.851872,4.712837,4.345101,1.000000,1.000000,0.000000,34.091255,28.378379,0.000000,22.162016,85.670743,22.065926,77.078560,3.293270,5.500000,3.581974
45,95.586068,95.604770,2.975685,35.342376,1.000000,1.000000,2.726294,1.000000,1.000000,0.000000,0.000000,1.000000,1.243077,102.542194,26.170786,93.024858,26.225414,89.441691,29.184183,28.284182,32.087301,0.000000,0.000000,46.832485,4.760961,4.413317,1.000000,1.000000,0.000000,34.070940,28.353163,0.000000,22.169285,85.711892,22.073354,77.160847,3.359239,5.500000,3.698566
46,95.587268,95.605971,2.975684,35.341734,1.000000,1.000000,2.721361,1.000000,1.000000,0.000000,0.000000,1.000000,1.263973,102.412738,26.188579,93.060155,26.243175,89.493582,29.200668,28.300667,32.076014,0.000000,0.000000,46.813077,4.809062,4.481478,1.000000,1.000000,0.000000,34.050643,28.327968,0.000000,22.176585,85.753020,22.080812,77.243009,3.425153,5.500000,3.814969
47,95.588418,95.607120,2.975684,35.341120,1.000000,1.000000,2.716497,1.000000,1.000000,0.000000,0.000000,1.000000,1.284782,102.283828,26.206314,93.095414,26.260879,89.545394,29.217100,28.317099,32.064709,0.000000,0.000000,46.793670,4.857141,4.549585,1.000000,1.000000,0.000000,34.030362,28.302793,0.000000,22.183915,85.794127,22.088299,77.325045,3.491012,5.500000,3.931183
48,95.271418,95.290028,2.975833,35.510538,1.000000,1.000000,2.711702,1.000000,1.000000,0.000000,0.000000,0.000000,1.305504,90.242283,28.450671,94.070939,28.545331,69.739599,31.037488,30.137487,32.871717,0.000000,0.000000,0.000000,4.905197,4.617637,1.000000,1.000000,0.000000,34.032997,28.289715,0.000000,22.257396,85.863152,22.161862,77.437251,3.556816,5.500000,4.047209
49,95.265726,95.284334,2.975836,35.513578,1.000000,1.000000,2.711359,1.000000,1.000000,0.000000,0.000000,0.000000,1.356253,90.014583,28.484814,94.114066,28.579444,69.675755,31.070092,30.170091,32.866083,0.000000,0.000000,0.000000,4.954888,4.553770,1.000000,1.000000,0.000000,34.013707,28.268191,0.000000,22.267541,85.905426,22.172142,77.511187,3.622627,5.500000,4.164307
50,95.028978,95.047517,2.975947,35.639972,1.000000,1.000000,2.711116,1.000000,1.000000,0.000000,0.000000,0.000000,1.406805,90.217800,28.572056,94.600387,28.665350,69.894915,31.156119,30.256118,32.614683,0.000000,0.000000,0.000000,5.004567,4.489903,1.000000,1.000000,0.000000,34.164661,28.250593,0.000000,22.318824,85.704146,22.223534,77.614514,3.688386,5.500000,4.280073
51,95.020540,95.039076,2.975951,35.644475,1.000000,1.000000,2.712686,1.000000,1.000000,0.000000,0.000000,0.000000,1.457760,90.000789,28.607150,94.644401,28.700414,69.835289,31.189744,30.289743,32.609039,0.000000,0.000000,0.000000,5.055240,4.430260,1.000000,1.000000,0.000000,34.147126,28.229033,0.000000,22.331079,85.745729,22.235925,77.690542,3.751196,5.500000,4.396657
52,95.011941,95.030475,2.975955,35.649064,1.000000,1.000000,2.714350,1.000000,1.000000,0.000000,0.000000,0.000000,1.508528,89.784711,28.642201,94.688389,28.735435,69.775646,31.223337,30.323336,32.603382,0.000000,0.000000,0.000000,5.105902,4.370618,1.000000,1.000000,0.000000,34.129808,28.205195,0.000000,22.343962,85.787542,22.248956,77.773826,3.813958,5.500000,4.512130
53,95.003207,95.021739,2.975959,35.653724,1.000000,1.000000,2.716107,1.000000,1.000000,0.000000,0.000000,0.000000,1.559110,89.569566,28.677188,94.732344,28.770392,69.716011,31.256875,30.356874,32.597705,0.000000,0.000000,0.000000,5.156553,4.310975,1.000000,1.000000,0.000000,34.112531,28.181402,0.000000,22.356942,85.829368,22.262085,77.856983,3.876674,5.500000,4.627424
54,94.994342,95.012871,2.975963,35.658454,1.000000,1.000000,2.717957,1.000000,1.000000,0.000000,0.000000,0.000000,1.609506,89.355358,28.712109,94.776264,28.805283,69.656356,31.290355,30.390354,32.592007,0.000000,0.000000,0.000000,5.207191,4.251332,1.000000,1.000000,0.000000,34.095295,28.157648,0.000000,22.370021,85.871207,22.275312,77.940044,3.939343,5.500000,4.742540
55,94.985363,95.003889,2.975967,35.663245,1.000000,1.000000,2.719900,1.000000,1.000000,0.000000,0.000000,0.000000,1.659718,89.142076,28.746964,94.820149,28.840108,69.596720,31.323779,30.423778,32.586288,0.000000,0.000000,0.000000,5.257819,4.191689,1.000000,1.000000,0.000000,34.078099,28.133930,0.000000,22.383197,85.913058,22.288635,78.023009,4.001965,5.500000,4.857478
56,93.767529,93.785701,2.976535,36.311529,1.000000,1.000000,2.721935,1.000000,1.000000,0.000000,0.000000,0.000000,1.709747,94.031161,29.161032,95.026097,29.254873,69.537074,31.771381,30.871380,32.717802,0.000000,0.000000,0.000000,5.308434,4.132047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.324662,65.164262,31.324662,61.612200,4.064541,5.500000,4.972238
57,93.063339,93.081308,2.976860,36.685019,1.000000,1.000000,2.745369,1.000000,0.000000,0.000000,0.000000,0.000000,1.763983,82.816627,31.352633,76.876855,31.352633,69.477430,33.713011,32.813010,0.000000,0.000000,0.000000,0.000000,5.359316,4.072404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.703854,65.134764,31.703854,61.553114,4.035043,5.484830,4.898058
58,93.024070,93.042028,2.976878,36.705818,1.000000,1.000000,2.772627,1.000000,0.000000,0.000000,0.000000,0.000000,1.837242,82.637484,31.407509,76.861445,31.407509,69.417794,33.766803,32.866802,0.000000,0.000000,0.000000,0.000000,5.343906,4.012761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.734992,65.105265,31.734992,61.487513,4.005545,5.469444,4.824169
59,92.984764,93.002710,2.976896,36.726632,1.000000,1.000000,2.799924,1.000000,0.000000,0.000000,0.000000,0.000000,1.910341,82.458673,31.462310,76.846034,31.462310,69.358164,33.820526,32.920525,0.000000,0.000000,0.000000,0.000000,5.328495,3.953119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.766161,65.075767,31.766161,61.428047,3.976046,5.453801,4.749427
60,92.945426,92.963360,2.976914,36.747461,1.000000,1.000000,2.827261,1.000000,0.000000,0.000000,0.000000,0.000000,1.983283,82.280315,31.517034,76.830624,31.517034,69.298518,33.874177,32.974176,0.000000,0.000000,0.000000,0.000000,5.313084,3.893476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.797354,65.046269,31.797354,61.368572,3.946548,5.437940,4.674983
61,92.906062,92.923985,2.976933,36.768299,1.000000,1.000000,2.854636,1.000000,0.000000,0.000000,0.000000,0.000000,2.056067,82.102410,31.571681,76.815215,31.571681,69.238864,33.927755,33.027754,0.000000,0.000000,0.000000,0.000000,5.297674,3.833834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.828571,65.016771,31.828571,61.309043,3.917050,5.421863,4.600832
62,93.043236,93.061199,2.976869,36.695666,1.000000,1.000000,2.882049,1.000000,0.000000,0.000000,0.000000,0.000000,2.128693,81.445700,31.577659,76.505790,31.577659,69.211451,33.929805,33.029805,0.000000,0.000000,0.000000,0.000000,5.282263,3.774191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.789687,64.955316,31.789687,61.179323,3.887551,5.405574,4.526970
63,93.004581,93.022533,2.976887,36.716139,1.000000,1.000000,2.908785,1.000000,0.000000,0.000000,0.000000,0.000000,2.200739,81.267100,31.631636,76.488691,31.631636,69.152298,33.982718,33.082717,0.000000,0.000000,0.000000,0.000000,5.265161,3.715045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.820265,64.925098,31.820265,61.112154,3.857334,5.388692,4.452105
64,92.965881,92.983822,2.976905,36.736631,1.000000,1.000000,2.935561,1.000000,0.000000,0.000000,0.000000,0.000000,2.272626,81.088845,31.685540,76.471589,31.685540,69.093153,34.035563,33.135562,0.000000,0.000000,0.000000,0.000000,5.248060,3.655900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.850874,64.894881,31.850874,61.050708,3.827116,5.371573,4.376506
65,92.927155,92.945085,2.976923,36.757133,1.000000,1.000000,2.962376,1.000000,0.000000,0.000000,0.000000,0.000000,2.344356,80.911044,31.739368,76.454487,31.739368,69.034004,34.088335,33.188334,0.000000,0.000000,0.000000,0.000000,5.230958,3.596754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.881508,64.864663,31.881508,60.989276,3.796898,5.354250,4.301186
66,92.888396,92.906315,2.976941,36.777650,1.000000,1.000000,2.989230,1.000000,0.000000,0.000000,0.000000,0.000000,2.415929,80.733710,31.793118,76.437387,31.793118,68.974861,34.141035,33.241034,0.000000,0.000000,0.000000,0.000000,5.213856,3.537609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.912166,64.834446,31.912166,60.927824,3.766681,5.336725,4.226140
67,92.849618,92.867525,2.976958,36.798175,1.000000,1.000000,3.016123,1.000000,0.000000,0.000000,0.000000,0.000000,2.487345,80.556833,31.846790,76.420283,31.846790,68.915726,34.193662,33.293661,0.000000,0.000000,0.000000,0.000000,5.196754,3.478463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.942849,64.804228,31.942849,60.866358,3.736463,5.319002,4.151363
68,92.810818,92.828714,2.976976,36.818707,1.000000,1.000000,3.043054,1.000000,0.000000,0.000000,0.000000,0.000000,2.558604,80.380414,31.900384,76.403183,31.900384,68.856572,34.246215,33.346214,0.000000,0.000000,0.000000,0.000000,5.179653,3.419318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.973554,64.774011,31.973554,60.804885,3.706245,5.301084,4.076853
