iteration,plc,namespace,ip,sensor_written_count,sensor_skipped_count,actuator_count,sensor_skipped,actuator.PLC4_PU10,actuator.PLC4_PU10.coil_index,actuator.PLC4_PU11,actuator.PLC4_PU11.coil_index,actuator.PLC4_PU8,actuator.PLC4_PU8.coil_index,sensor.PLC4_T3,sensor.PLC4_T3.md_index,sensor.PLC4_T4,sensor.PLC4_T4.md_index,tag.PU10,tag.PU11,tag.PU8,sensor.PLC9_T7,sensor.PLC9_T7.md_index,sensor.PLC8_T6,sensor.PLC8_T6.md_index,sensor.PLC7_T5,sensor.PLC7_T5.md_index,sensor.PLC3_J14,sensor.PLC3_J14.md_index,sensor.PLC3_J256,sensor.PLC3_J256.md_index,sensor.PLC3_J289,sensor.PLC3_J289.md_index,sensor.PLC3_J300,sensor.PLC3_J300.md_index,sensor.PLC3_J415,sensor.PLC3_J415.md_index,sensor.PLC3_J422,sensor.PLC3_J422.md_index,sensor.PLC3_PU4F,sensor.PLC3_PU4F.md_index,sensor.PLC3_PU5F,sensor.PLC3_PU5F.md_index,sensor.PLC3_PU6F,sensor.PLC3_PU6F.md_index,sensor.PLC3_PU7F,sensor.PLC3_PU7F.md_index,sensor.PLC3_T2,sensor.PLC3_T2.md_index,sensor.PLC3_V2F,sensor.PLC3_V2F.md_index,actuator.PLC2_PU4,actuator.PLC2_PU4.coil_index,actuator.PLC2_PU5,actuator.PLC2_PU5.coil_index,actuator.PLC2_PU6,actuator.PLC2_PU6.coil_index,actuator.PLC2_PU7,actuator.PLC2_PU7.coil_index,actuator.PLC2_V2,actuator.PLC2_V2.coil_index,sensor.PLC2_T1,sensor.PLC2_T1.md_index,tag.PU4,tag.PU5,tag.PU6,tag.PU7,tag.V2,actuator.PLC1_PU1,actuator.PLC1_PU1.coil_index,actuator.PLC1_PU2,actuator.PLC1_PU2.coil_index,sensor.PLC1_J269,sensor.PLC1_J269.md_index,sensor.PLC1_J280,sensor.PLC1_J280.md_index,sensor.PLC1_PU1F,sensor.PLC1_PU1F.md_index,sensor.PLC1_PU2F,sensor.PLC1_PU2F.md_index,tag.PU1,tag.PU2,sensor.PLC5_J302,sensor.PLC5_J302.md_index,sensor.PLC5_J306,sensor.PLC5_J306.md_index,sensor.PLC5_J307,sensor.PLC5_J307.md_index,sensor.PLC5_J317,sensor.PLC5_J317.md_index,sensor.PLC5_PU10F,sensor.PLC5_PU10F.md_index,sensor.PLC5_PU11F,sensor.PLC5_PU11F.md_index,sensor.PLC5_PU8F,sensor.PLC5_PU8F.md_index
15,PLC9,ns-plc9,192.168.9.1,1,0,0,,,,,,,,,,,,,,,1.5144781909132234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PLC8,ns-plc8,192.168.8.1,1,0,0,,,,,,,,,,,,,,,,,4.960720027323688,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PLC7,ns-plc7,192.168.7.1,1,0,0,,,,,,,,,,,,,,,,,,,1.7345960844174044,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PLC3,ns-plc3,192.168.3.1,12,0,0,,,,,,,,,,,,,,,,,,,,,28.63201656746784,7,90.39707403346397,4,25.627107252913166,5,25.567411925300433,3,86.70244919707048,6,27.732015435659417,8,33.363243950646755,9,0.0,10,0.0,11,48.02515059167921,12,0.6669185996416758,1,105.14901238283869,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PLC9,ns-plc9,192.168.9.1,1,0,0,,,,,,,,,,,,,,,1.6365601853201923,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PLC8,ns-plc8,192.168.8.1,1,0,0,,,,,,,,,,,,,,,,,5.009817905308367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PLC2,ns-plc2,192.168.2.1,1,3,5,PLC3_T2:non-local source prefix PLC3 | PLC4_T3:non-local source prefix PLC4 | PLC4_T4:non-local source prefix PLC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2,False,3,True,4,True,0,2.961285437873599,4,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PLC4,ns-plc4,192.168.4.1,2,2,3,PLC7_T5:non-local source prefix PLC7 | PLC9_T7:non-local source prefix PLC9,True,1,False,2,True,0,3.5119071657567957,3,2.9298130205075097,4,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PLC1,ns-plc1,192.168.1.1,4,1,2,PLC2_T1:non-local source prefix PLC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,True,1,35.10973295871316,5,2.975479793272509,4,96.02076060021807,2,96.03958978772096,3,True,True,,,,,,,,,,,,,,
18,PLC1,ns-plc1,192.168.1.1,4,1,2,PLC2_T1:non-local source prefix PLC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,True,1,35.1063913977489,5,2.9754768417895208,4,96.026999157776,2,96.0458301742988,3,True,True,,,,,,,,,,,,,,
18,PLC3,ns-plc3,192.168.3.1,12,0,0,,,,,,,,,,,,,,,,,,,,,28.66272519230415,7,90.46404256921372,4,25.660552686000777,5,25.60093235966049,3,86.78181531618291,6,27.762724063732673,8,33.342617808666695,9,0.0,10,0.0,11,48.00006208700632,12,0.708842180564929,1,104.84828908752775,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PLC7,ns-plc7,192.168.7.1,1,0,0,,,,,,,,,,,,,,,,,,,1.8429367086846469,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PLC4,ns-plc4,192.168.4.1,2,2,3,PLC7_T5:non-local source prefix PLC7 | PLC9_T7:non-local source prefix PLC9,True,1,False,2,True,0,3.556560669400696,3,2.9794361968959606,4,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PLC9,ns-plc9,192.168.9.1,1,0,0,,,,,,,,,,,,,,,1.6973766924913605,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PLC5,ns-plc5,192.168.5.1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.300456484874736,4,83.38975091321569,5,21.18961681947615,6,69.05884691158684,7,30.653212834691445,2,0.0,3,34.93285626299826,1
18,PLC2,ns-plc2,192.168.2.1,1,3,5,PLC3_T2:non-local source prefix PLC3 | PLC4_T3:non-local source prefix PLC4 | PLC4_T4:non-local source prefix PLC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2,False,3,True,4,True,0,2.9501048727601358,4,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PLC9,ns-plc9,192.168.9.1,1,0,0,,,,,,,,,,,,,,,1.7580442790616502,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PLC4,ns-plc4,192.168.4.1,2,2,3,PLC7_T5:non-local source prefix PLC7 | PLC9_T7:non-local source prefix PLC9,True,1,False,2,True,0,3.601193252297506,3,3.029023978675781,4,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PLC3,ns-plc3,192.168.3.1,12,0,0,,,,,,,,,,,,,,,,,,,,,28.677982024214135,7,90.49746605297639,4,25.677170028776615,5,25.617587331654228,3,86.82142066177823,6,27.777980897251673,8,33.33227179478005,9,0.0,10,0.0,11,47.98749487507637,12,0.729634941373476,1,104.6988054958149,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PLC5,ns-plc5,192.168.5.1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.300229546065662,4,83.42160225874889,5,21.189470996887962,6,69.0988088215163,7,30.64109811736062,2,0.0,3,34.91417651446462,1
19,PLC2,ns-plc2,192.168.2.1,1,3,5,PLC3_T2:non-local source prefix PLC3 | PLC4_T3:non-local source prefix PLC4 | PLC4_T4:non-local source prefix PLC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2,False,3,True,4,True,0,2.9389997054601764,4,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PLC8,ns-plc8,192.168.8.1,1,0,0,,,,,,,,,,,,,,,,,5.059087456840814,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PLC7,ns-plc7,192.168.7.1,1,0,0,,,,,,,,,,,,,,,,,,,1.8970312104345055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PLC1,ns-plc1,192.168.1.1,4,1,2,PLC2_T1:non-local source prefix PLC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,True,1,35.10307483791643,5,2.9754739102558645,4,96.03319089212775,2,96.05202372400099,3,True,True,,,,,,,,,,,,,,
20,PLC5,ns-plc5,192.168.5.1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.300035688939637,4,83.45343628043332,5,21.189358107751755,6,69.13872183407061,7,30.629001383409534,2,0.0,3,34.89551466593746,1
20,PLC7,ns-plc7,192.168.7.1,1,0,0,,,,,,,,,,,,,,,,,,,1.9510752365537627,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PLC2,ns-plc2,192.168.2.1,1,3,5,PLC3_T2:non-local source prefix PLC3 | PLC4_T3:non-local source prefix PLC4 | PLC4_T4:non-local source prefix PLC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2,False,3,True,4,True,0,2.92796965314011,4,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PLC1,ns-plc1,192.168.1.1,4,1,2,PLC2_T1:non-local source prefix PLC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,True,1,35.099782872496306,5,2.9754710052035076,4,96.03933657871603,2,96.05817121249643,3,True,True,,,,,,,,,,,,,,
20,PLC4,ns-plc4,192.168.4.1,2,2,3,PLC7_T5:non-local source prefix PLC7 | PLC9_T7:non-local source prefix PLC9,True,1,False,2,True,0,3.6458048696810152,3,3.078576250888176,4,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PLC3,ns-plc3,192.168.3.1,12,0,0,,,,,,,,,,,,,,,,,,,,,28.693174395130896,7,90.53084925282798,4,25.693717837612418,5,25.634172837172947,3,86.86099606219385,6,27.793173269771252,8,33.321904070461834,9,0.0,10,0.0,11,47.97490076961746,12,0.7503157354322809,1,104.54989815346494,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PLC9,ns-plc9,192.168.9.1,1,0,0,,,,,,,,,,,,,,,1.8185634970510165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PLC8,ns-plc8,192.168.8.1,1,0,0,,,,,,,,,,,,,,,,,5.083785841690073,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PLC5,ns-plc5,192.168.5.1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.299875209747196,4,83.4852531323763,5,21.189278448644533,6,69.17858536920023,7,30.616922928930038,2,0.0,3,34.87687083389734,1
21,PLC8,ns-plc8,192.168.8.1,1,0,0,,,,,,,,,,,,,,,,,5.1085262270437966,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PLC9,ns-plc9,192.168.9.1,1,0,0,,,,,,,,,,,,,,,1.8789348968902573,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PLC3,ns-plc3,192.168.3.1,12,0,0,,,,,,,,,,,,,,,,,,,,,28.708303996806805,7,90.56419265111265,4,25.710197340745246,5,25.6506901196295,3,86.90052040507291,6,27.80830287304359,8,33.31151508253843,9,0.0,10,0.0,11,47.96229195271978,12,0.7708851110566712,1,104.40158396164634,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PLC4,ns-plc4,192.168.4.1,2,2,3,PLC7_T5:non-local source prefix PLC7 | PLC9_T7:non-local source prefix PLC9,True,1,False,2,True,0,3.690395477544328,3,3.128093067060888,4,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PLC1,ns-plc1,192.168.1.1,4,1,2,PLC2_T1:non-local source prefix PLC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,True,1,35.096521304699344,5,2.9754681266038703,4,96.0454253773186,2,96.0642617963829,3,True,True,,,,,,,,,,,,,,
21,PLC7,ns-plc7,192.168.7.1,1,0,0,,,,,,,,,,,,,,,,,,,2.0050688354104835,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PLC2,ns-plc2,192.168.2.1,1,3,5,PLC3_T2:non-local source prefix PLC3 | PLC4_T3:non-local source prefix PLC4 | PLC4_T4:non-local source prefix PLC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2,False,3,True,4,True,0,2.9170144344305555,4,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PLC1,ns-plc1,192.168.1.1,4,1,2,PLC2_T1:non-local source prefix PLC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,True,1,35.09328165802332,5,2.9754652627371083,4,96.05147310816295,2,96.0703113005251,3,True,True,,,,,,,,,,,,,,
22,PLC5,ns-plc5,192.168.5.1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.299747121666442,4,83.51705244442532,5,21.189231030788584,6,69.21839995771712,7,30.60486232602839,2,0.0,3,34.85824469402291,1
22,PLC7,ns-plc7,192.168.7.1,1,0,0,,,,,,,,,,,,,,,,,,,2.059012055687603,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PLC9,ns-plc9,192.168.9.1,1,0,0,,,,,,,,,,,,,,,1.939159022712147,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PLC8,ns-plc8,192.168.8.1,1,0,0,,,,,,,,,,,,,,,,,5.133308309742105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PLC4,ns-plc4,192.168.4.1,2,2,3,PLC7_T5:non-local source prefix PLC7 | PLC9_T7:non-local source prefix PLC9,True,1,False,2,True,0,3.734965032822757,3,3.177574349505278,4,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PLC3,ns-plc3,192.168.3.1,12,0,0,,,,,,,,,,,,,,,,,,,,,28.723369993258377,7,90.59749599364693,4,25.726607991875056,5,25.66713862745209,3,86.94000107306573,6,27.8233688710851,8,33.30110462480874,9,0.0,10,0.0,11,47.94966407263808,12,0.7913436449095315,1,104.2538733829872,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PLC2,ns-plc2,192.168.2.1,1,3,5,PLC3_T2:non-local source prefix PLC3 | PLC4_T3:non-local source prefix PLC4 | PLC4_T4:non-local source prefix PLC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2,False,3,True,4,True,0,2.9061337770970823,4,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PLC3,ns-plc3,192.168.3.1,12,0,0,,,,,,,,,,,,,,,,,,,,,28.738373450658358,7,90.63075958868971,4,25.74295060362219,5,25.683519181453672,3,86.97942641045844,6,27.838372330068623,8,33.29067299085089,9,0.0,10,0.0,11,47.9370239306433,12,0.8116918912951689,1,104.10675675967695,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PLC5,ns-plc5,192.168.5.1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.299652007958358,4,83.54883448798917,5,21.189216436754954,6,69.2581653295344,7,30.592819863345003,2,0.0,3,34.83963646155622,1
23,PLC7,ns-plc7,192.168.7.1,1,0,0,,,,,,,,,,,,,,,,,,,2.1129049451915876,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PLC8,ns-plc8,192.168.8.1,1,0,0,,,,,,,,,,,,,,,,,5.158131790018416,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PLC2,ns-plc2,192.168.2.1,1,3,5,PLC3_T2:non-local source prefix PLC3 | PLC4_T3:non-local source prefix PLC4 | PLC4_T4:non-local source prefix PLC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2,False,3,True,4,True,0,2.8953273891357867,4,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PLC9,ns-plc9,192.168.9.1,1,0,0,,,,,,,,,,,,,,,1.9992364202378496,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PLC1,ns-plc1,192.168.1.1,4,1,2,PLC2_T1:non-local source prefix PLC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,True,1,35.09007112966735,5,2.975462428955938,4,96.05746635497145,2,96.07630630471056,3,True,True,,,,,,,,,,,,,,
23,PLC4,ns-plc4,192.168.4.1,2,2,3,PLC7_T5:non-local source prefix PLC7 | PLC9_T7:non-local source prefix PLC9,True,1,False,2,True,0,3.7795134920027067,3,3.227020062697818,4,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PLC2,ns-plc2,192.168.2.1,1,3,5,PLC3_T2:non-local source prefix PLC3 | PLC4_T3:non-local source prefix PLC4 | PLC4_T4:non-local source prefix PLC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2,False,3,True,4,True,0,2.8845949954998957,4,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PLC7,ns-plc7,192.168.7.1,1,0,0,,,,,,,,,,,,,,,,,,,2.166747552310582,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PLC3,ns-plc3,192.168.3.1,12,0,0,,,,,,,,,,,,,,,,,,,,,28.75331258111055,7,90.66398289761813,4,25.759223894345883,5,25.699830492741402,3,87.01880746229779,6,27.853311462097942,8,33.28021969439026,9,0.0,10,0.0,11,47.92436476343219,12,0.8319304204665343,1,103.96023570135071,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PLC8,ns-plc8,192.168.8.1,1,0,0,,,,,,,,,,,,,,,,,5.18299636932943,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
