iteration,PLC1.PLC1_J269,PLC1.PLC1_J280,PLC1.PLC1_PU1F,PLC1.PLC1_PU2F,PLC2.PLC2_T1,PLC3.PLC3_J14,PLC3.PLC3_J256,PLC3.PLC3_J289,PLC3.PLC3_J300,PLC3.PLC3_J415,PLC3.PLC3_J422,PLC3.PLC3_PU4F,PLC3.PLC3_PU5F,PLC3.PLC3_PU6F,PLC3.PLC3_PU7F,PLC3.PLC3_T2,PLC3.PLC3_V2F,PLC4.PLC4_T3,PLC4.PLC4_T4,PLC5.PLC5_J302,PLC5.PLC5_J306,PLC5.PLC5_J307,PLC5.PLC5_J317,PLC5.PLC5_PU10F,PLC5.PLC5_PU11F,PLC5.PLC5_PU8F,PLC7.PLC7_T5,PLC8.PLC8_T6,PLC9.PLC9_T7
11,35.059135,2.975435,96.115204,96.134064,3.026862,28.531628,89.418495,25.499958,25.438862,84.766411,27.631626,33.882584,0.000000,0.000000,48.997284,0.563389,106.453995,3.247715,2.688366,27.124872,84.852859,27.124872,56.682133,0.000000,0.000000,37.336414,1.473384,4.922842,1.457302
12,34.823009,2.975226,96.555534,96.574524,3.021820,28.462738,89.424500,25.448317,25.387369,84.767822,27.562737,33.847740,0.000000,0.000000,48.969208,0.584243,104.224861,3.290435,2.709706,20.909052,82.420723,20.796837,67.983963,30.858301,0.000000,35.267242,1.525340,4.891101,1.342131
13,35.123379,2.975492,95.995285,96.014107,3.006767,28.585480,90.296326,25.576424,25.516617,86.583046,27.685478,33.394020,0.000000,0.000000,48.062653,0.603180,105.604507,3.333085,2.730967,21.302595,83.230438,21.191362,68.865883,30.711927,0.000000,35.026688,1.571705,4.911776,1.389577
14,35.119915,2.975489,96.001747,96.020569,2.995282,28.601049,90.329941,25.593382,25.533611,86.622902,27.701048,33.383781,0.000000,0.000000,48.050163,0.624541,105.452072,3.377822,2.780732,21.301689,83.262169,21.190523,68.898384,30.701885,0.000000,35.007751,1.626053,4.936236,1.453211
15,35.116497,2.975486,96.008133,96.026962,2.983874,28.616566,90.363525,25.610279,25.550547,86.662682,27.716564,33.373524,0.000000,0.000000,48.037678,0.645787,105.300255,3.422538,2.830461,21.301336,83.294090,21.190252,68.938667,30.689665,0.000000,34.989002,1.680350,4.960720,1.514478
16,35.113098,2.975483,96.014473,96.033302,2.972542,28.632017,90.397072,25.627108,25.567411,86.702446,27.732016,33.363243,0.000000,0.000000,48.025150,0.666919,105.149010,3.467233,2.880154,21.301010,83.325996,21.190008,68.978775,30.677496,0.000000,34.970268,1.734596,4.985247,1.575594
17,35.109734,2.975480,96.020760,96.039589,2.961285,28.647404,90.430580,25.643866,25.584208,86.742149,27.747402,33.352943,0.000000,0.000000,48.012615,0.687937,104.998360,3.511907,2.929813,21.300716,83.357880,21.189796,69.018837,30.665346,0.000000,34.951553,1.788792,5.009818,1.636560
18,35.106392,2.975477,96.027000,96.045830,2.950105,28.662725,90.464043,25.660553,25.600933,86.781815,27.762724,33.342617,0.000000,0.000000,48.000061,0.708842,104.848289,3.556561,2.979436,21.300457,83.389748,21.189617,69.058846,30.653214,0.000000,34.932858,1.842937,5.034431,1.697377
19,35.103073,2.975474,96.033188,96.052025,2.939000,28.677982,90.497467,25.677170,25.617588,86.821419,27.777981,33.332272,0.000000,0.000000,47.987495,0.729635,104.698807,3.601193,3.029024,21.300230,83.421600,21.189470,69.098808,30.641098,0.000000,34.914177,1.897031,5.059087,1.758044
20,35.099781,2.975471,96.039337,96.058174,2.927970,28.693174,90.530846,25.693718,25.634172,86.860992,27.793173,33.321903,0.000000,0.000000,47.974899,0.750316,104.549896,3.645805,3.078576,21.300035,83.453438,21.189358,69.138725,30.629002,0.000000,34.895515,1.951075,5.083786,1.818563
21,35.096519,2.975468,96.045425,96.064262,2.917014,28.708303,90.564194,25.710197,25.650690,86.900520,27.808302,33.311516,0.000000,0.000000,47.962292,0.770885,104.401581,3.690396,3.128093,21.299875,83.485252,21.189278,69.178589,30.616922,0.000000,34.876869,2.005069,5.108526,1.878935
22,35.093281,2.975465,96.051476,96.070312,2.906134,28.723370,90.597496,25.726608,25.667139,86.940002,27.823368,33.301105,0.000000,0.000000,47.949665,0.791344,104.253876,3.734965,3.177574,21.299747,83.517052,21.189232,69.218399,30.604862,0.000000,34.858246,2.059012,5.133308,1.939159
23,35.090073,2.975462,96.057465,96.076309,2.895327,28.738373,90.630760,25.742950,25.683519,86.979424,27.838373,33.290672,0.000000,0.000000,47.937023,0.811692,104.106758,3.779514,3.227020,21.299652,83.548836,21.189217,69.258163,30.592819,0.000000,34.839638,2.112905,5.158132,1.999236
24,35.086880,2.975460,96.063423,96.082268,2.884595,28.753313,90.663986,25.759224,25.699831,87.018806,27.853312,33.280220,0.000000,0.000000,47.924366,0.831930,103.960236,3.824041,3.276430,21.299589,83.580597,21.189234,69.297882,30.580795,0.000000,34.821045,2.166748,5.182996,2.059168
25,35.157253,2.975522,95.932030,95.950829,2.873936,28.799669,91.466095,25.809734,25.752754,87.180527,27.899668,32.813293,0.000000,0.000000,47.863365,0.852060,104.149887,3.868547,3.325804,21.397779,83.883865,21.287615,69.490479,30.552227,0.000000,34.701088,2.220540,5.207902,2.118953
26,35.154533,2.975519,95.937111,95.955910,2.864258,28.815138,91.500336,25.826532,25.769592,87.221069,27.915136,32.802361,0.000000,0.000000,47.850327,0.872824,104.005157,3.914925,3.376746,21.398287,83.917328,21.288193,69.526245,30.541552,0.000000,34.681763,2.277126,5.233445,2.182853
27,35.151840,2.975517,95.942131,95.960938,2.854651,28.830555,91.534546,25.843273,25.786371,87.261574,27.930553,32.791405,0.000000,0.000000,47.837269,0.893481,103.861008,3.961282,3.427651,21.399199,83.950920,21.289186,69.567612,30.529297,0.000000,34.662571,2.333659,5.259017,2.245021
28,35.149181,2.975515,95.947098,95.965904,2.845116,28.845909,91.568710,25.859947,25.803085,87.302048,27.945908,32.780430,0.000000,0.000000,47.824188,0.914032,103.717445,4.007616,3.478519,21.400139,83.984489,21.290209,69.608856,30.517076,0.000000,34.643398,2.390141,5.284631,2.307039
29,35.146545,2.975512,95.952026,95.970833,2.835654,28.861204,91.602829,25.876556,25.819733,87.342461,27.961203,32.769432,0.000000,0.000000,47.811100,0.934478,103.574448,4.053927,3.529350,21.401112,84.018051,21.291264,69.650047,30.504877,0.000000,34.624245,2.446570,5.310287,2.368908
30,35.143929,2.975510,95.956909,95.975723,2.826264,28.876438,91.636917,25.893099,25.836315,87.382835,27.976437,32.758415,0.000000,0.000000,47.797985,0.954818,103.432014,4.100217,3.580144,21.402117,84.051582,21.292349,69.691193,30.492693,0.000000,34.605106,2.502949,5.335985,2.430629
31,35.141338,2.975508,95.961746,95.980560,2.816945,28.891609,91.670959,25.909575,25.852831,87.423164,27.991610,32.747379,0.000000,0.000000,47.784859,0.975053,103.290161,4.146484,3.630901,21.403154,84.085106,21.293468,69.732285,30.480530,0.000000,34.585987,2.559275,5.361724,2.492203
32,35.138775,2.975505,95.966530,95.985344,2.807697,28.906723,91.704964,25.925985,25.869282,87.463440,28.006721,32.736324,0.000000,0.000000,47.771717,0.995184,103.148872,4.192729,3.681622,21.404224,84.118607,21.294621,69.773331,30.468384,0.000000,34.566883,2.615549,5.387505,2.553628
33,35.136238,2.975503,95.971275,95.990089,2.798521,28.921774,91.738930,25.942331,25.885668,87.503662,28.021774,32.725246,0.000000,0.000000,47.758564,1.015212,103.008163,4.238952,3.732305,21.405327,84.152084,21.295803,69.814323,30.456255,0.000000,34.547798,2.671772,5.413326,2.614908
34,35.133720,2.975501,95.975975,95.994789,2.789415,28.936768,91.772850,25.958612,25.901989,87.543869,28.036766,32.714149,0.000000,0.000000,47.745380,1.035137,102.868011,4.285151,3.782951,21.406462,84.185547,21.297018,69.855270,30.444145,0.000000,34.528732,2.727944,5.439188,2.676040
35,35.131233,2.975499,95.980621,95.999435,2.780380,28.951700,91.806732,25.974829,25.918245,87.583992,28.051699,32.703033,0.000000,0.000000,47.732201,1.054959,102.728432,4.331329,3.833560,21.407629,84.218994,21.298265,69.896156,30.432055,0.000000,34.509682,2.784064,5.465090,2.737028
36,35.128765,2.975497,95.985229,96.004051,2.771414,28.966572,91.840576,25.990980,25.934437,87.624084,28.066572,32.691895,0.000000,0.000000,47.718994,1.074679,102.589417,4.377484,3.884132,21.408827,84.252419,21.299545,69.937004,30.419983,0.000000,34.490650,2.840132,5.491033,2.797870
37,35.135887,2.975503,95.971924,95.990738,2.768331,28.974638,91.853271,25.998936,25.942402,87.638687,28.074638,32.688908,0.000000,0.000000,47.715324,1.081481,102.614815,4.393476,3.901650,21.682455,84.374847,21.580860,73.963516,29.245253,0.000000,34.577152,2.859551,5.500000,2.818912
38,35.347565,2.975690,95.576363,95.595062,2.762783,29.067369,92.776756,26.099533,26.044687,89.076942,28.167370,32.165848,0.000000,0.000000,46.967949,1.094317,103.463234,4.423613,3.934659,22.119749,85.423714,22.022726,76.592461,28.526911,0.000000,34.213722,2.896302,5.500000,2.877151
39,35.346737,2.975689,95.577911,95.596611,2.757360,29.084206,92.812302,26.117680,26.062864,89.129219,28.184206,32.154678,0.000000,0.000000,46.948631,1.115838,103.330032,4.471873,4.003202,22.126122,85.464691,22.029238,76.665184,28.504786,0.000000,34.193073,2.962602,5.500000,2.996173
40,35.345951,2.975688,95.579384,95.598083,2.752006,29.100998,92.847824,26.135777,26.080994,89.181442,28.200998,32.143490,0.000000,0.000000,46.929306,1.137269,103.197388,4.520112,4.071692,22.133242,85.505943,22.036518,76.748161,28.479452,0.000000,34.172676,3.028846,5.500000,3.113713
41,35.345184,2.975688,95.580811,95.599518,2.746724,29.117739,92.883301,26.153816,26.099064,89.233589,28.217737,32.132286,0.000000,0.000000,46.909973,1.158609,103.065285,4.568327,4.140126,22.140388,85.547173,22.043825,76.830948,28.454153,0.000000,34.152298,3.095034,5.500000,3.231062
42,35.344448,2.975687,95.582199,95.600899,2.741511,29.134428,92.918747,26.171801,26.117079,89.285721,28.234426,32.121067,0.000000,0.000000,46.890610,1.179860,102.933708,4.616519,4.208505,22.147568,85.588387,22.051161,76.913612,28.428875,0.000000,34.131931,3.161168,5.500000,3.348222
43,35.343731,2.975686,95.583534,95.602234,2.736369,29.151064,92.954155,26.189728,26.135036,89.337769,28.251062,32.109829,0.000000,0.000000,46.871246,1.201021,102.802673,4.664690,4.276831,22.154776,85.629570,22.058529,76.996147,28.403616,0.000000,34.111584,3.227247,5.500000,3.465193
44,35.343044,2.975686,95.584824,95.603523,2.731297,29.167648,92.989525,26.207598,26.152939,89.389755,28.267649,32.098572,0.000000,0.000000,46.851871,1.222093,102.672165,4.712837,4.345101,22.162016,85.670746,22.065926,77.078560,28.378380,0.000000,34.091255,3.293270,5.500000,3.581974
45,35.342377,2.975685,95.586067,95.604767,2.726295,29.184183,93.024857,26.225414,26.170786,89.441689,28.284182,32.087303,0.000000,0.000000,46.832485,1.243077,102.542191,4.760961,4.413317,22.169285,85.711891,22.073355,77.160843,28.353163,0.000000,34.070942,3.359239,5.500000,3.698566
46,35.341736,2.975684,95.587265,95.605972,2.721361,29.200668,93.060158,26.243176,26.188580,89.493584,28.300667,32.076015,0.000000,0.000000,46.813076,1.263973,102.412735,4.809062,4.481478,22.176584,85.753021,22.080812,77.243011,28.327967,0.000000,34.050644,3.425153,5.500000,3.814969
47,35.341118,2.975684,95.588417,95.607117,2.716497,29.217100,93.095413,26.260880,26.206314,89.545395,28.317099,32.064709,0.000000,0.000000,46.793671,1.284782,102.283829,4.857141,4.549585,22.183914,85.794128,22.088299,77.325043,28.302794,0.000000,34.030361,3.491012,5.500000,3.931183
48,35.510536,2.975833,95.271416,95.290031,2.711702,31.037487,94.070938,28.545332,28.450670,69.739601,30.137487,32.871716,0.000000,0.000000,0.000000,1.305504,90.242287,4.905197,4.617637,22.257397,85.863152,22.161863,77.437248,28.289715,0.000000,34.032997,3.556816,5.500000,4.047209
49,35.513577,2.975836,95.265724,95.284332,2.711359,31.070093,94.114067,28.579443,28.484814,69.675758,30.170092,32.866085,0.000000,0.000000,0.000000,1.356253,90.014580,4.954888,4.553770,22.267542,85.905426,22.172142,77.511185,28.268190,0.000000,34.013706,3.622627,5.500000,4.164307
50,35.639973,2.975947,95.028976,95.047516,2.711116,31.156118,94.600388,28.665350,28.572056,69.894913,30.256119,32.614685,0.000000,0.000000,0.000000,1.406805,90.217796,5.004567,4.489903,22.318823,85.704147,22.223534,77.614517,28.250593,0.000000,34.164661,3.688386,5.500000,4.280073
51,35.644474,2.975951,95.020538,95.039078,2.712686,31.189745,94.644402,28.700415,28.607151,69.835289,30.289743,32.609039,0.000000,0.000000,0.000000,1.457760,90.000786,5.055241,4.430260,22.331079,85.745728,22.235924,77.690544,28.229033,0.000000,34.147125,3.751196,5.500000,4.396657
52,35.649063,2.975955,95.011940,95.030472,2.714350,31.223337,94.688393,28.735435,28.642200,69.775642,30.323336,32.603382,0.000000,0.000000,0.000000,1.508528,89.784714,5.105902,4.370617,22.343962,85.787544,22.248957,77.773827,28.205194,0.000000,34.129807,3.813958,5.500000,4.512130
53,35.653725,2.975959,95.003204,95.021736,2.716107,31.256874,94.732346,28.770391,28.677187,69.716011,30.356874,32.597706,0.000000,0.000000,0.000000,1.559110,89.569565,5.156552,4.310975,22.356943,85.829369,22.262085,77.856987,28.181402,0.000000,34.112530,3.876674,5.500000,4.627424
54,35.658455,2.975963,94.994339,95.012871,2.717957,31.290356,94.776260,28.805283,28.712109,69.656357,30.390354,32.592007,0.000000,0.000000,0.000000,1.609506,89.355362,5.207191,4.251332,22.370022,85.871208,22.275312,77.940041,28.157648,0.000000,34.095295,3.939343,5.500000,4.742540
55,35.663246,2.975967,94.985359,95.003891,2.719900,31.323778,94.820152,28.840107,28.746964,69.596718,30.423779,32.586288,0.000000,0.000000,0.000000,1.659718,89.142075,5.257819,4.191689,22.383198,85.913055,22.288635,78.023010,28.133930,0.000000,34.078098,4.001966,5.500000,4.857478
56,36.311531,2.976535,93.767532,93.785698,2.721935,31.771381,95.026100,29.254873,29.161032,69.537071,30.871380,32.717800,0.000000,0.000000,0.000000,1.709747,94.031158,5.308434,4.132047,31.324661,65.164261,31.324661,61.612202,0.000000,0.000000,0.000000,4.064541,5.500000,4.972238
57,36.685020,2.976860,93.063339,93.081306,2.745369,33.713009,76.876854,31.352633,31.352633,69.477432,32.813011,0.000000,0.000000,0.000000,0.000000,1.763983,82.816628,5.359316,4.072404,31.703854,65.134766,31.703854,61.553112,0.000000,0.000000,0.000000,4.035043,5.484829,4.898057
58,36.705818,2.976878,93.024071,93.042030,2.772627,33.766804,76.861443,31.407509,31.407509,69.417793,32.866802,0.000000,0.000000,0.000000,0.000000,1.837242,82.637482,5.343906,4.012761,31.734993,65.105263,31.734993,61.487514,0.000000,0.000000,0.000000,4.005545,5.469444,4.824169
59,36.726631,2.976896,92.984764,93.002708,2.799924,33.820526,76.846031,31.462311,31.462311,69.358162,32.920525,0.000000,0.000000,0.000000,0.000000,1.910342,82.458672,5.328495,3.953119,31.766161,65.075768,31.766161,61.428047,0.000000,0.000000,0.000000,3.976046,5.453801,4.749427
60,36.747459,2.976914,92.945427,92.963364,2.827260,33.874176,76.830627,31.517035,31.517035,69.298515,32.974174,0.000000,0.000000,0.000000,0.000000,1.983283,82.280312,5.313084,3.893476,31.797354,65.046272,31.797354,61.368572,0.000000,0.000000,0.000000,3.946548,5.437940,4.674983
61,36.768299,2.976933,92.906059,92.923988,2.854635,33.927753,76.815216,31.571680,31.571680,69.238861,33.027752,0.000000,0.000000,0.000000,0.000000,2.056067,82.102409,5.297674,3.833834,31.828571,65.016769,31.828571,61.309044,0.000000,0.000000,0.000000,3.917050,5.421863,4.600832
62,36.695667,2.976869,93.043236,93.061203,2.882049,33.929806,76.505791,31.577660,31.577660,69.211449,33.029804,0.000000,0.000000,0.000000,0.000000,2.128693,81.445702,5.282263,3.774191,31.789686,64.955315,31.789686,61.179321,0.000000,0.000000,0.000000,3.887551,5.405574,4.526970
63,36.716137,2.976887,93.004578,93.022530,2.908785,33.982719,76.488693,31.631636,31.631636,69.152298,33.082718,0.000000,0.000000,0.000000,0.000000,2.200739,81.267097,5.265162,3.715045,31.820265,64.925095,31.820265,61.112156,0.000000,0.000000,0.000000,3.857334,5.388692,4.452105
64,36.736629,2.976905,92.965881,92.983818,2.935561,34.035564,76.471588,31.685541,31.685541,69.093155,33.135563,0.000000,0.000000,0.000000,0.000000,2.272626,81.088844,5.248060,3.655900,31.850874,64.894882,31.850874,61.050709,0.000000,0.000000,0.000000,3.827116,5.371572,4.376506
65,36.757133,2.976923,92.927155,92.945084,2.962376,34.088337,76.454491,31.739368,31.739368,69.034004,33.188335,0.000000,0.000000,0.000000,0.000000,2.344356,80.911041,5.230958,3.596754,31.881508,64.864662,31.881508,60.989277,0.000000,0.000000,0.000000,3.796898,5.354249,4.301186
66,36.777649,2.976941,92.888397,92.906311,2.989230,34.141037,76.437386,31.793118,31.793118,68.974861,33.241035,0.000000,0.000000,0.000000,0.000000,2.415929,80.733711,5.213856,3.537609,31.912167,64.834442,31.912167,60.927822,0.000000,0.000000,0.000000,3.766680,5.336725,4.226140
67,36.798176,2.976959,92.849617,92.867523,3.016123,34.193661,76.420280,31.846790,31.846790,68.915726,33.293663,0.000000,0.000000,0.000000,0.000000,2.487345,80.556831,5.196754,3.478463,31.942848,64.804230,31.942848,60.866360,0.000000,0.000000,0.000000,3.736463,5.319002,4.151363
68,36.818707,2.976976,92.810814,92.828712,3.043054,34.246216,76.403183,31.900385,31.900385,68.856575,33.346214,0.000000,0.000000,0.000000,0.000000,2.558604,80.380417,5.179653,3.419317,31.973555,64.774010,31.973555,60.804886,0.000000,0.000000,0.000000,3.706245,5.301084,4.076853
69,36.839252,2.976994,92.771988,92.789871,3.070024,34.298695,76.386086,31.953901,31.953901,68.797432,33.398697,0.000000,0.000000,0.000000,0.000000,2.629707,80.204453,5.162551,3.360172,32.004284,64.743790,32.004284,60.743408,0.000000,0.000000,0.000000,3.676028,5.282972,4.002606
70,36.859810,2.977012,92.733131,92.751007,3.097033,34.351105,76.368980,32.007343,32.007343,68.738289,33.451103,0.000000,0.000000,0.000000,0.000000,2.700655,80.028954,5.145449,3.301027,32.035038,64.713577,32.035038,60.681934,0.000000,0.000000,0.000000,3.645810,5.264670,3.928617
71,36.880375,2.977030,92.694252,92.712112,3.124080,34.403442,76.351875,32.060703,32.060703,68.679138,33.503441,0.000000,0.000000,0.000000,0.000000,2.771447,79.853905,5.128348,3.241881,32.065815,64.683357,32.065815,60.620468,0.000000,0.000000,0.000000,3.615592,5.246181,3.854884
72,36.900948,2.977048,92.655357,92.673203,3.151164,34.455704,76.334778,32.113991,32.113991,68.619995,33.555702,0.000000,0.000000,0.000000,0.000000,2.842085,79.679321,5.111246,3.182735,32.096611,64.653137,32.096611,60.559010,0.000000,0.000000,0.000000,3.585374,5.227507,3.781403
73,36.921532,2.977066,92.616425,92.634270,3.178287,34.507896,76.317673,32.167198,32.167198,68.560852,33.607895,0.000000,0.000000,0.000000,0.000000,2.912568,79.505188,5.094144,3.123590,32.127434,64.622925,32.127434,60.497566,0.000000,0.000000,0.000000,3.555157,5.208650,3.708171
74,36.755653,2.976922,92.929947,92.947876,3.205446,34.456089,75.830315,32.122189,32.122189,67.098579,33.556087,0.000000,0.000000,0.000000,0.000000,2.982897,78.333908,5.077043,3.064445,32.019577,64.434952,32.019577,59.560692,0.000000,0.000000,0.000000,3.524939,5.189612,3.635184
75,36.775467,2.976939,92.892525,92.910446,3.231197,34.507126,75.810776,32.174240,32.174240,67.019928,33.607124,0.000000,0.000000,0.000000,0.000000,3.052190,78.157715,5.057498,2.986171,32.049053,64.401375,32.049053,59.470287,0.000000,0.000000,0.000000,3.491364,5.166486,3.539873
76,36.320576,2.976543,93.750496,93.768661,3.256988,31.991631,75.791222,29.344889,29.384111,88.357368,31.091629,0.000000,0.000000,0.000000,49.131332,3.121326,93.459740,5.037954,2.907893,31.618042,64.367798,31.618042,59.405659,0.000000,0.000000,0.000000,3.457789,5.143120,3.443399
77,36.334484,2.976555,93.724304,93.742462,3.277481,32.025364,75.771683,29.379307,29.418516,88.409676,31.125364,0.000000,0.000000,0.000000,49.121910,3.160539,93.369431,5.018410,2.968124,31.639688,64.334229,31.639688,59.312344,0.000000,0.000000,0.000000,3.424214,5.119608,3.349050
78,36.348396,2.976567,93.698105,93.716255,3.297989,32.059059,75.752136,29.413679,29.452875,88.461975,31.159056,0.000000,0.000000,0.000000,49.112465,3.199679,93.279381,4.998865,3.028329,31.661343,64.300652,31.661343,59.232517,0.000000,0.000000,0.000000,3.390640,5.095850,3.253109
79,36.362309,2.976579,93.671906,93.690048,3.318512,32.092705,75.732597,29.448006,29.487186,88.514229,31.192705,0.000000,0.000000,0.000000,49.103020,3.238749,93.189606,4.979321,3.088507,31.683004,64.267075,31.683004,59.152809,0.000000,0.000000,0.000000,3.357065,5.071898,3.157433
80,36.376221,2.976591,93.645699,93.663834,3.339050,32.126312,75.713051,29.482286,29.521454,88.566444,31.226311,0.000000,0.000000,0.000000,49.093559,3.277747,93.100121,4.959777,3.148658,31.704670,64.233505,31.704670,59.073112,0.000000,0.000000,0.000000,3.323490,5.047752,3.062019
81,36.390137,2.976603,93.619476,93.637611,3.359602,32.159870,75.693504,29.516521,29.555676,88.618652,31.259871,0.000000,0.000000,0.000000,49.084084,3.316675,93.010918,4.940232,3.208783,31.726343,64.199928,31.726343,58.993423,0.000000,0.000000,0.000000,3.289915,5.023416,2.966866
82,36.404053,2.976615,93.593262,93.611382,3.380168,32.193390,75.673965,29.550711,29.589849,88.670784,31.293388,0.000000,0.000000,0.000000,49.074615,3.355532,92.921997,4.920688,3.268881,31.748024,64.166351,31.748024,58.913754,0.000000,0.000000,0.000000,3.256340,4.998891,2.871969
83,36.417965,2.976628,93.567039,93.585159,3.400748,32.226864,75.654411,29.584854,29.623978,88.722900,31.326862,0.000000,0.000000,0.000000,49.065132,3.394318,92.833351,4.901144,3.328952,31.769709,64.132774,31.769709,58.834103,0.000000,0.000000,0.000000,3.222765,4.974179,2.777327
84,36.431885,2.976640,93.540817,93.558922,3.421343,32.260296,75.634872,29.618952,29.658062,88.774979,31.360294,0.000000,0.000000,0.000000,49.055641,3.433035,92.744987,4.881599,3.388996,31.791399,64.099205,31.791399,58.754475,0.000000,0.000000,0.000000,3.189190,4.949282,2.682937
85,36.445805,2.976652,93.514580,93.532684,3.441952,32.293682,75.615334,29.653004,29.692101,88.827049,31.393682,0.000000,0.000000,0.000000,49.046127,3.471682,92.656898,4.862055,3.449013,31.813097,64.065628,31.813097,58.674870,0.000000,0.000000,0.000000,3.155616,4.924202,2.588795
86,36.171429,2.976413,94.031189,94.049438,3.462574,32.209553,74.944466,29.578718,29.618090,88.399582,31.309551,0.000000,0.000000,0.000000,49.232086,3.510259,90.933342,4.842511,3.509004,31.639395,63.324661,31.639395,58.536877,0.000000,0.000000,0.000000,3.122041,4.898941,2.494901
87,36.183941,2.976424,94.007652,94.025894,3.480620,32.241051,74.921913,29.610884,29.650244,88.447029,31.341049,0.000000,0.000000,0.000000,49.224068,3.547148,90.841583,4.819960,3.563059,31.658670,63.278614,31.658670,58.443943,0.000000,0.000000,0.000000,3.075996,4.873271,2.401056
88,36.196472,2.976434,93.984077,94.002312,3.498683,32.272495,74.899361,29.642992,29.682341,88.494469,31.372492,0.000000,0.000000,0.000000,49.216015,3.583962,90.749878,4.797410,3.617091,31.677961,63.232571,31.677961,58.362988,0.000000,0.000000,0.000000,3.029952,4.847383,2.305866
89,36.209007,2.976445,93.960495,93.978722,3.516763,32.303890,74.876808,29.675055,29.714390,88.541870,31.403891,0.000000,0.000000,0.000000,49.207954,3.620702,90.658493,4.774859,3.671101,31.697260,63.186527,31.697260,58.282143,0.000000,0.000000,0.000000,2.983907,4.821316,2.210919
